Area Code,Region Name,Average Low income,Average Income,Average High income,Housing Cost (Monthly Rent),Housing Affordability for Low Income (%),Housing Affordability for Avg Income (%),Housing Affordability for High Income (%)
E06000001,Hartlepool,28366.67,33741.67,40150,494,20.89776488,17.56878068,14.76463263
E06000002,Middlesbrough,29868.42,35531.58,42268.42,492,19.76669673,16.61620451,13.96787483
E06000003,Redcar and Cleveland,29884.21,35515.79,42205.26,505,20.27826735,17.06283318,14.35839988
E06000004,Stockton-on-Tees,32745.83,38929.17,46275,579,21.21796882,17.84779896,15.01458671
E06000005,Darlington,33113.33,39380,46813.33,501,18.1558303,15.26663281,12.84249593
E06000006,Halton,33275,39375,46625,556,20.05108941,16.9447619,14.30991957
E06000007,Warrington,38752,45792,54088,663,20.53055326,17.37421384,14.70936252
E06000008,Blackburn with Darwen,31072.22,36772.22,43511.11,513,19.81190916,16.74089843,14.14811068
E06000009,Blackpool,28136.84,33236.84,39268.42,543,23.15825089,19.60475184,16.59348657
E06000010,"Kingston upon Hull, City of",28656.25,34034.38,40428.13,453,18.96968375,15.9720847,13.44608321
E06000011,East Riding of Yorkshire,35760.47,42567.44,50669.77,587,19.69772769,16.54785911,13.90178009
E06000012,North East Lincolnshire,27691.3,32926.09,39156.52,493,21.36411075,17.96751452,15.10859494
E06000013,North Lincolnshire,31591.3,37426.09,44347.83,520,19.75227357,16.6728611,14.07058699
E06000014,York,38616.67,45866.67,54487.5,853,26.5066874,22.31685884,18.78596008
E06000015,Derby,33506.45,39677.42,47003.23,639,22.88514599,19.32585334,16.31377248
E06000016,Leicester,31240.54,37121.62,44108.11,631,24.23773725,20.39781669,17.16691103
E06000017,Rutland,39840,47100,55640,885,26.65662651,22.5477707,19.08698778
E06000018,Nottingham,30463.16,36221.05,43081.58,695,27.37733052,23.02528502,19.35862148
E06000019,"Herefordshire, County of",37282.61,44091.3,52139.13,669,21.53282724,18.20767362,15.39726497
E06000020,Telford and Wrekin,36113.04,42726.09,50552.17,633,21.03395339,17.77836446,15.0260612
E06000021,Stoke-on-Trent,30308.82,35902.94,42535.29,550,21.77583951,18.38289566,15.51652757
E06000022,Bath and North East Somerset,41640.74,49344.44,58470.37,"1,238",35.67659941,30.10673543,25.40774071
E06000023,"Bristol, City of",41616.36,49487.27,58856.36,"1,243",35.8416738,30.14108477,25.34305553
E06000024,North Somerset,41669.23,49215.38,58150,825,23.75853837,20.11566303,17.02493551
E06000025,South Gloucestershire,43790.63,51790.63,61265.63,"1,146",31.40397843,26.55306568,22.44651691
E06000026,Plymouth,35521.88,42046.88,49778.13,621,20.97861937,17.72307482,14.97042979
E06000027,Torbay,33641.18,39823.53,47123.53,670,23.89928058,20.18906913,17.06154017
E06000028,Bournemouth,38573.91,45686.96,54130.43,758,23.5807052,19.90940084,16.80385691
E06000029,Poole,41166.67,48650,57494.44,717,20.90040317,17.68550874,14.9649253
E06000030,Swindon,41103.7,48696.3,57677.78,837,24.43575639,20.62579703,17.41398507
E06000031,Peterborough,37781.82,44745.45,52977.27,875,27.79114399,23.46607309,19.81982084
E06000032,Luton,37876.19,44947.62,53371.43,981,31.08021161,26.19048573,22.05674459
E06000033,Southend-on-Sea,38011.76,44952.94,53182.35,839,26.48653996,22.39675536,18.93109274
E06000034,Thurrock,40900,48457.89,57410.53,998,29.28117359,24.71424158,20.86028469
E06000035,Medway,40839.47,48444.74,57497.37,"1,007",29.58902258,24.94388452,21.01661346
E06000036,Bracknell Forest,54080,64033.33,75800,"1,001",22.21153846,18.75898067,15.8469657
